id,title,description,publishTime,duration_seconds,viewCount,likeCount,commentCount,like_to_view_ratio(%)
A-vX1AGBGsc,I Went Back To 1st Grade For A Day,me and the squad went back to first grade for fun LAST DAY TO BUY MERCH - https://shopmrbeast.com/ After today you can no ...,2019-01-31 22:05:00+00:00,1066,119352796,2306311.0,134931.0,1.9323476929690027
TDiXxsQ0w2Q,Why I Haven’t Been Uploading,This took way too long... Buy Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,2020-09-17 20:00:05+00:00,382,32929921,2155684.0,98498.0,6.546277472089897
OAbP-V6fEVc,I Broke Into A House,His reaction was hilarious Download monster legends: https://monsterlegends.onelink.me/1933036881/MrBeast Thanks Monster ...,2020-06-25 20:00:00+00:00,897,74412826,2290401.0,182264.0,3.077965349683131
ha4tRQwKIUg,I Bought Everything In A Store - Challenge,I WENT INTO A STORE AND BOUGHT LITERALLY 15000 ITEMS! New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE ...,2019-05-18 20:05:02+00:00,1016,100371975,3393035.0,181956.0,3.38046053193633
ORUX1lHbOa8,I Opened A FREE BANK,Download Angry Birds 2 Here https://rov.io/PU9tvo Thanks To Angry Birds For Sponsoring This Video New Merch ...,2019-11-23 21:00:17+00:00,703,66772832,1895447.0,90447.0,2.83865000663743
NZlClr_ivb4,"Hit The Target, Win $300,000","If they miss the shot, the prize goes up by $10000 Get Honey for FREE today ▸ http://joinhoney.com/mrbeast Honey finds coupons ...",2021-06-12 20:00:01+00:00,904,76492851,2378693.0,84362.0,3.1096932182590504
PKtnafFtfEo,"Youtube Rewind 2020, Thank God It&#39;s Over",This is what Youtube Rewind would look like if it was made by creators lol SUBSCRIBE TO THESE SMALL CHANNELS NOW ...,2021-01-01 21:00:03+00:00,391,57131190,4707358.0,297513.0,8.239558811920423
e5DqdX-7_g4,Surprising TFue With A Fortnite Battle Bus In Real Life,YOU WON'T BELIEVE HOW TFUE REACTED TO THE BATTLE BUS New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I ...,2018-12-07 22:11:00+00:00,865,89583695,1695042.0,64576.0,1.8921322680427504
E6E22XQPhhg,Anything You Can Fit In The Triangle I’ll Pay For,Sorry for the long time no uploads! I had 4 different videos fall apart :/ New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I ...,2021-06-01 20:00:02+00:00,968,64846876,2183523.0,87041.0,3.367198444532625
LeYsRMZFUq0,"I Gave People $1,000,000 But ONLY 1 Minute To Spend It!",Subscribe right now and you might be picked to be in my next video! (its epic) New Merch - https://shopmrbeast.com/ SUBSCRIBE ...,2020-12-15 21:00:11+00:00,858,91681798,4286817.0,170811.0,4.675755813602172
